店名,ジャンル,価格帯,色,説明,URL,住所,緯度,経度,南北補正,東西補正
地図中心,-,-,-,-,-,東京都世田谷区三軒茶屋2-11-26,35.6411906,139.668762,130,100
現在位置,-,-,-,-,-,東京都世田谷区三軒茶屋2-11-26,35.6411906,139.668762,0,0
左上01,-,-,-,すずらん&茶沢通り,四角17度,東京都世田谷区太子堂4-1-1,35.6438236,139.6692852,80,85
右下01,-,-,-,飲食店が多いエリア,-,東京都世田谷区太子堂4-1-1,35.6438236,139.6692852,-20,160
左上02,-,-,-,三角地帯,四角30度,東京都世田谷区太子堂4-1-1,35.6438236,139.6692852,-70,-70
右下02,-,-,-,飲食店が多いエリア,-,東京都世田谷区太子堂4-1-1,35.6438236,139.6692852,-135,130
左上03,-,-,-,駅前,四角30度,東京都世田谷区太子堂4-1-1,35.6438236,139.6692852,-15,140
右下03,-,-,-,飲食店が多いエリア,-,東京都世田谷区太子堂4-1-1,35.6438236,139.6692852,-70,335
左上04,-,-,-,栄通り,四角-15度,東京都世田谷区太子堂4-1-1,35.6438236,139.6692852,-135,90
右下04,-,-,-,飲食店が多いエリア,-,東京都世田谷区太子堂4-1-1,35.6438236,139.6692852,-200,350
[お弁当販売]コア・スペース,お弁当,400,#FACC15,【お弁当】（400円程度）※キャッシュレス,"１．この建物１階（受付入口とは別の場所から入場する）
２．お弁当を買う人の列に並ぶ（入って右へ進む）
３．お弁当が並んでいるので、食べたいものを手に取る
４．店員さんに電子マネーで会計する
５．会計後に、店員さんがお箸をくれる
６．飲食スペースがあるので、その場で食事も可能
　　この部屋（地下）に戻ってきて、食事しても良い",東京都世田谷区三軒茶屋2-11-26,35.6411906,139.668762,-10,9
ローソン,コンビニ,Free,#FACC15,【コンビニ】,,東京都世田谷区三軒茶屋2-2-13,35.6409399,139.6686672,2,6
セブン-イレブン,コンビニ,Free,#FACC15,【コンビニ】,,東京都世田谷区三軒茶屋2-10-13,35.642332,139.6687822,7,6
AFURI,麺,1500,#EF4444,【ラーメン】（1500円程度）,https://tabelog.com/tokyo/A1317/A131706/13166371/,東京都世田谷区三軒茶屋2-12-11,35.6424052,139.6697809,0,0
長崎,麺,1000,#F97316,【ちゃんぽん】（1000円程度）,https://tabelog.com/tokyo/A1317/A131706/13013105/,東京都世田谷区三軒茶屋2-15-1,35.6425495,139.6687469,-5,7
横浜らーめん 大塚家,麺,1000,#F97316,【ラーメン】（1000円程度）,https://tabelog.com/tokyo/A1317/A131706/13248634/,東京都世田谷区三軒茶屋2-13-11,35.6433551,139.6702303,5,-6
富喜製麺研究所,麺,1500,#EF4444,【ラーメン】（1500円程度）,https://tabelog.com/tokyo/A1317/A131706/13308552/,東京都世田谷区三軒茶屋2-12-10 1F,35.6424653,139.6698321,0,4
陳麻家,中華,1000,#F97316,【四川料理】（1000円程度）,https://tabelog.com/tokyo/A1317/A131706/13126845/,東京都世田谷区三軒茶屋2-13-22,35.6425971,139.6699131,-3,6
京城餃子王,中華,1000,#F97316,【中華】（1000円程度）,https://tabelog.com/tokyo/A1317/A131706/13213297/,東京都世田谷区三軒茶屋2-14-12 三元ビル 2F,35.6431974,139.6698234,15,-5
富士そば,麺,500,#FACC15,【そば】（500円程度）,https://tabelog.com/tokyo/A1317/A131706/13124198/,東京都世田谷区三軒茶屋2-14-12,35.6431974,139.6698234,13,-11
CURRY&BAR 2531,カレー,1000,#F97316,【カレー】（1000円程度）,https://tabelog.com/tokyo/A1317/A131706/13133954/,東京都世田谷区三軒茶屋2-13-10,35.6432811,139.6701225,-12,10
町田商店,麺,1000,#F97316,【ラーメン】（1000円程度）,https://tabelog.com/tokyo/A1317/A131706/13290869/,東京都世田谷区三軒茶屋2-13-19,35.6429824,139.6702919,6,10
レイン オン ザ ルーフ,カフェ,1000,#F97316,【カフェ】（1000円程度）,https://tabelog.com/tokyo/A1317/A131706/13037998/,東京都世田谷区三軒茶屋2-14-22 池田屋 2F,35.6426665,139.6692202,-10,2
ニエバナ はなれ,定食,1500,#EF4444,【定食】（1500円程度）,https://tabelog.com/tokyo/A1317/A131706/13225985/,東京都世田谷区三軒茶屋2-14-19 ジオステージ三軒茶屋1F,35.6428676,139.6693397,-1,-5
トレッテ,麺,1000,#F97316,【パスタ】（1000円程度）,https://tabelog.com/tokyo/A1317/A131706/13033527/,東京都世田谷区三軒茶屋2-9-15 エルパレス 1F,35.6424521,139.6683431,0,0
武蔵野うどん じんこ,麺,1000,#F97316,【うどん】（1000円程度）,https://tabelog.com/tokyo/A1317/A131706/13126424/,東京都世田谷区三軒茶屋2-11-11 プレジオ三軒茶屋 1F,35.6422147,139.6690958,0,0
月山,麺,1500,#EF4444,【そば】（1500円程度）,https://tabelog.com/tokyo/A1317/A131706/13183867/,東京都世田谷区三軒茶屋2-10-16,35.6422662,139.6689563,-9,0
ブッチャーズ 八百八,肉,1800,#EF4444,【肉】（1800円程度）,https://tabelog.com/tokyo/A1317/A131706/13194123/,東京都世田谷区三軒茶屋2-14-5 1F,35.6425825,139.6690368,0,0
ルースター,麺/カレー,1000,#F97316,【パスタ＆カレー】（1000円程度）,https://tabelog.com/tokyo/A1317/A131706/13013793/,東京都世田谷区三軒茶屋2-15-14 ABCビル B1F,35.6427189,139.6687669,-18,-11
サイアム・タラート,異国,1000,#F97316,【タイ】（1000円程度）,https://tabelog.com/tokyo/A1317/A131706/13070118/,"	東京都世田谷区三軒茶屋2-14-19",35.6428676,139.6693397,0,8
燕来香 （えんらいしゃん）,中華,1000,#F97316,【中華】（1000円程度）,https://tabelog.com/tokyo/A1317/A131706/13092469/,"	東京都世田谷区三軒茶屋2-11-24",35.6413763,139.6690762,15,-30
a-bridge,カフェ,1000,#F97316,【カフェ】（1000円程度）,https://tabelog.com/tokyo/A1317/A131706/13021821/,東京都世田谷区三軒茶屋2-14-12 三元ビル　ＲＦ,35.6431831,139.6698317,0,0
焼肉うしお,肉,1500,#EF4444,【肉】（1500円程度）,https://tabelog.com/tokyo/A1317/A131706/13192322/,東京都世田谷区三軒茶屋2-15-14 ABCビル 2F,35.6427189,139.6687669,0,0
万豚記（ワンツーチー）,中華,1000,#F97316,【中華】（1000円程度）,https://tabelog.com/tokyo/A1317/A131706/13014627/,東京都世田谷区三軒茶屋2-13-22,35.6425971,139.6699131,0,8
蕎麦酒場 そばでちょこっと,麺/定食,1000,#F97316,【そば&定食】（1000円程度）,https://tabelog.com/tokyo/A1317/A131706/13277615/,"	東京都世田谷区三軒茶屋１-32-6 豊栄ビル2階",35.6418636,139.6699281,6,-2
おひつ膳 田んぼ 三軒茶屋店,定食,2000,#EF4444,【和食】（2000円程度）,https://tabelog.com/tokyo/A1317/A131706/13264747/,東京都世田谷区三軒茶屋1-29-10,35.6410585,139.6696087,12,-19
